Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Sunshine Of Your Love,6FRwDxXsvSasw0y2eDArsz,Cream,74oJ4qxwOZvX6oSsu1DGnw,0.684,0.481,2,-12.59,1,0.0384,0.475,6.57e-05,0.118,0.784,115.078,audio_features,6FRwDxXsvSasw0y2eDArsz,spotify:track:6FRwDxXsvSasw0y2eDArsz,https://api.spotify.com/v1/tracks/6FRwDxXsvSasw0y2eDArsz,https://api.spotify.com/v1/audio-analysis/6FRwDxXsvSasw0y2eDArsz,250000,4,rock
Ticket To Ride - Remastered 2009,7CZiDzGVjUssMSOXrDNYHL,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,0.519,0.85,9,-6.777,1,0.0678,0.0457,0.0,0.233,0.749,123.419,audio_features,7CZiDzGVjUssMSOXrDNYHL,spotify:track:7CZiDzGVjUssMSOXrDNYHL,https://api.spotify.com/v1/tracks/7CZiDzGVjUssMSOXrDNYHL,https://api.spotify.com/v1/audio-analysis/7CZiDzGVjUssMSOXrDNYHL,189680,4,rock
And the Cradle Will Rock... - 2015 Remaster,4MM0jT9z9m7VFiusFrGJ8C,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,0.509,0.928,2,-5.833,1,0.0329,0.189,1.41e-06,0.269,0.736,107.921,audio_features,4MM0jT9z9m7VFiusFrGJ8C,spotify:track:4MM0jT9z9m7VFiusFrGJ8C,https://api.spotify.com/v1/tracks/4MM0jT9z9m7VFiusFrGJ8C,https://api.spotify.com/v1/audio-analysis/4MM0jT9z9m7VFiusFrGJ8C,213150,4,rock
Under My Thumb,5lmGgOaixbwKHtpTzjJoqx,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,0.732,0.494,6,-13.571,0,0.0406,0.299,0.205,0.0919,0.799,126.986,audio_features,5lmGgOaixbwKHtpTzjJoqx,spotify:track:5lmGgOaixbwKHtpTzjJoqx,https://api.spotify.com/v1/tracks/5lmGgOaixbwKHtpTzjJoqx,https://api.spotify.com/v1/audio-analysis/5lmGgOaixbwKHtpTzjJoqx,221533,4,rock
Point of Know Return,0YoAVHXeEPPzZxK0xPQqYn,Kansas,2hl0xAkS2AIRAu23TVMBG1,0.687,0.59,5,-5.204,1,0.0367,0.0889,0.000173,0.171,0.653,136.232,audio_features,0YoAVHXeEPPzZxK0xPQqYn,spotify:track:0YoAVHXeEPPzZxK0xPQqYn,https://api.spotify.com/v1/tracks/0YoAVHXeEPPzZxK0xPQqYn,https://api.spotify.com/v1/audio-analysis/0YoAVHXeEPPzZxK0xPQqYn,190760,4,rock
Jet Airliner,2zI3bUYn2pcF27of6i2oqK,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,0.574,0.664,5,-11.5,1,0.0346,0.0737,0.0,0.22,0.936,122.956,audio_features,2zI3bUYn2pcF27of6i2oqK,spotify:track:2zI3bUYn2pcF27of6i2oqK,https://api.spotify.com/v1/tracks/2zI3bUYn2pcF27of6i2oqK,https://api.spotify.com/v1/audio-analysis/2zI3bUYn2pcF27of6i2oqK,215667,4,rock
Nights In White Satin - Single Version / Mono,6L5BZEcZmD6RBJnimzlyKr,The Moody Blues,5BcZ22XONcRoLhTbZRuME1,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,audio_features,6L5BZEcZmD6RBJnimzlyKr,spotify:track:6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/tracks/6L5BZEcZmD6RBJnimzlyKr,https://api.spotify.com/v1/audio-analysis/6L5BZEcZmD6RBJnimzlyKr,269107,4,rock
Somebody to Love,4uGIJG1jYFonGc4LGp5uQL,Jefferson Airplane,2qFr8w5sWUITRlzZ9kZotF,0.504,0.578,4,-9.302,1,0.031,0.408,0.0,0.321,0.654,132.411,audio_features,4uGIJG1jYFonGc4LGp5uQL,spotify:track:4uGIJG1jYFonGc4LGp5uQL,https://api.spotify.com/v1/tracks/4uGIJG1jYFonGc4LGp5uQL,https://api.spotify.com/v1/audio-analysis/4uGIJG1jYFonGc4LGp5uQL,174840,4,rock
The Spirit Of Radio,4e9hUiLsN4mx61ARosFi7p,Rush,2Hkut4rAAyrQxRdof7FVJq,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,audio_features,4e9hUiLsN4mx61ARosFi7p,spotify:track:4e9hUiLsN4mx61ARosFi7p,https://api.spotify.com/v1/tracks/4e9hUiLsN4mx61ARosFi7p,https://api.spotify.com/v1/audio-analysis/4e9hUiLsN4mx61ARosFi7p,296467,4,rock
Let's Go,43G3McVkRa8V7oGQzfQuRr,The Cars,6DCIj8jNaNpBz8e5oKFPtp,0.651,0.83,2,-8.785,1,0.0316,0.00824,0.0429,0.0837,0.917,131.282,audio_features,43G3McVkRa8V7oGQzfQuRr,spotify:track:43G3McVkRa8V7oGQzfQuRr,https://api.spotify.com/v1/tracks/43G3McVkRa8V7oGQzfQuRr,https://api.spotify.com/v1/audio-analysis/43G3McVkRa8V7oGQzfQuRr,213173,4,rock
