danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.435,0.929,9,-7.7,1,0.235,0.105,1.58e-06,0.015,0.65,175.448,217560,4
0.263,0.828,4,-8.225,0,0.0412,0.000421,0.018,0.232,0.584,99.092,586400,4
0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,350862,4
0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4
0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445,230667,4
0.611,0.584,2,-12.108,1,0.0279,0.304,0.000332,0.0578,0.421,128.575,313493,4
0.517,0.447,7,-12.483,1,0.0418,0.000573,0.00118,0.144,0.894,134.755,310267,4
0.763,0.462,2,-9.432,1,0.105,0.661,0.0,0.112,0.672,124.491,253867,4
0.442,0.56,0,-13.681,1,0.0361,0.252,0.0322,0.151,0.475,166.585,292080,4
0.531,0.924,7,-5.106,1,0.0672,0.133,0.000103,0.0772,0.936,131.843,226733,4
0.637,0.697,0,-8.903,1,0.0297,0.171,0.0,0.108,0.938,147.103,231600,4
0.569,0.55,7,-12.859,1,0.0275,0.00771,0.0,0.179,0.746,90.454,185667,4
0.609,0.814,0,-8.141,1,0.0298,0.00285,1.67e-05,0.267,0.881,106.88,168520,4
0.61,0.582,0,-10.422,1,0.044,0.119,3.76e-05,0.12,0.781,82.492,251333,4
0.537,0.645,9,-12.362,1,0.0308,0.00214,3.21e-05,0.0911,0.848,133.745,254467,4
0.333,0.74,7,-10.479,1,0.0459,0.161,0.0,0.982,0.481,162.042,194933,4
0.768,0.809,9,-5.816,1,0.0289,0.0271,0.000633,0.0584,0.737,133.838,214093,4
0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,406307,4
0.473,0.158,7,-12.9,1,0.0332,0.984,2.19e-06,0.113,0.329,98.008,225973,4
0.558,0.563,9,-11.259,1,0.0543,0.0146,0.000195,0.273,0.617,120.99,309667,4
0.635,0.893,9,-5.251,1,0.0308,0.0285,0.000884,0.179,0.946,113.454,188200,4
0.69,0.837,7,-8.312,1,0.0289,0.127,7.2e-06,0.102,0.967,113.817,230160,4
0.403,0.525,5,-9.287,1,0.0941,0.393,0.0,0.214,0.58,82.859,226627,4
0.617,0.461,5,-14.485,0,0.0434,0.148,0.0151,0.12,0.828,93.853,288400,4
0.477,0.715,8,-7.81,1,0.0329,0.037,0.00852,0.0991,0.891,116.102,249893,4
0.385,0.555,10,-10.694,0,0.105,0.0624,0.0,0.0298,0.69,168.164,182000,4
0.568,0.645,5,-8.363,1,0.0416,0.543,0.0,0.191,0.901,170.676,197400,4
0.784,0.662,0,-8.539,1,0.0627,0.11,0.00136,0.112,0.923,148.416,328440,4
0.617,0.958,7,-4.495,1,0.0615,0.107,0.000146,0.376,0.774,121.817,203493,4
0.442,0.327,9,-12.831,0,0.0267,0.772,0.0,0.325,0.318,95.394,246053,4
0.753,0.427,0,-11.112,1,0.0387,0.00787,0.00065,0.058,0.295,119.18,255680,4
0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204,187173,4
0.674,0.659,8,-8.049,1,0.0277,0.00156,0.00765,0.108,0.697,99.768,243587,4
0.487,0.464,4,-13.494,1,0.0353,0.105,0.00017,0.0767,0.214,97.53,263067,4
0.444,0.853,1,-12.57,1,0.138,0.325,0.0,0.816,0.206,83.875,292973,4
0.488,0.959,9,-5.575,1,0.0758,0.00333,0.0767,0.025,0.67,166.799,254293,4
0.513,0.775,11,-5.136,0,0.0284,0.0929,0.0,0.404,0.518,112.202,149360,4
0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494,256200,4
0.458,0.831,2,-5.439,1,0.0485,0.0274,0.0212,0.22,0.61,131.104,239333,4
0.477,0.697,0,-7.878,1,0.0387,0.403,0.262,0.311,0.832,130.365,249027,4
0.579,0.923,0,-5.66,1,0.0387,0.384,0.0783,0.784,0.439,126.347,255467,4
0.491,0.791,7,-8.801,1,0.036,0.081,6.87e-06,0.447,0.88,93.116,196680,4
0.469,0.464,7,-17.281,1,0.0263,0.0179,2.87e-06,0.577,0.601,95.921,319800,4
0.621,0.561,11,-10.797,0,0.0308,0.275,0.0,0.323,0.961,106.142,216213,4
0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,188067,4
0.664,0.88,2,-5.009,0,0.0326,0.465,1.63e-05,0.0591,0.895,133.898,210760,4
0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,219587,4
0.39,0.589,9,-9.363,1,0.0384,0.258,3.91e-05,0.069,0.599,166.093,377413,4
