danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.566,0.494,10,-12.242,0,0.0619,0.106,0.179,0.133,0.591,96.641,199667,4
0.432,0.776,8,-3.474,1,0.0443,0.0152,0.0153,0.834,0.667,128.038,211680,4
0.251,0.932,4,-4.167,0,0.159,0.0511,3.29e-05,0.642,0.229,165.253,260306,4
0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,4
0.124,0.808,3,-9.005,0,0.134,0.000348,0.642,0.255,0.114,170.227,559080,4
0.451,0.808,0,-5.231,1,0.0405,0.22,0.0,0.224,0.805,188.037,170827,4
0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,272293,4
0.55,0.918,9,-3.159,0,0.0682,0.00466,0.0,0.206,0.563,126.083,177827,4
0.283,0.899,7,-1.325,1,0.0383,0.041,0.944,0.691,0.612,86.862,192187,4
0.69,0.834,0,-5.79,1,0.0566,0.129,0.0,0.136,0.738,127.43,222933,4
0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,252773,4
0.852,0.741,1,-5.435,0,0.134,0.0247,0.00106,0.0974,0.535,97.894,241360,4
0.348,0.869,11,-5.067,0,0.0854,2.71e-05,0.0343,0.0788,0.139,90.071,240493,4
0.414,0.912,0,-6.142,1,0.0509,0.000533,0.943,0.159,0.603,114.421,198514,4
0.167,0.921,6,-4.881,0,0.061,0.000141,0.0716,0.239,0.315,168.225,262227,4
0.573,0.818,4,-5.157,1,0.0471,0.0465,0.0,0.111,0.789,128.987,234133,4
0.528,0.733,6,-4.373,0,0.06,0.0742,1.29e-05,0.159,0.728,78.277,202587,4
0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,354320,4
0.521,0.209,7,-15.591,1,0.0259,0.897,0.915,0.0602,0.247,136.143,392227,4
0.374,0.816,2,-13.88,1,0.0578,0.119,8.01e-06,0.0808,0.138,104.56,146560,4
0.648,0.721,4,-8.918,1,0.0342,0.0755,0.122,0.169,0.555,109.992,377973,4
0.428,0.956,4,-4.169,0,0.0528,2.25e-05,0.000316,0.175,0.344,169.966,215587,4
0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,210627,4
0.339,0.143,0,-10.78,1,0.0317,0.921,0.000636,0.372,0.0948,101.213,413320,3
0.684,0.625,4,-7.626,1,0.0252,0.000946,0.172,0.0369,0.806,99.173,236062,4
0.459,0.599,10,-6.49,1,0.0367,0.142,0.0,0.116,0.521,201.362,206133,4
0.621,0.531,0,-9.342,1,0.0289,0.725,0.67,0.0709,0.818,95.549,184133,4
0.452,0.716,1,-5.141,1,0.0313,0.0347,7.85e-06,0.294,0.317,174.037,190160,4
0.86,0.861,6,-7.131,0,0.307,0.0361,4.07e-05,0.113,0.79,143.184,271053,4
0.424,0.935,11,-5.484,1,0.119,0.000357,1.83e-05,0.129,0.381,163.82,260613,4
0.543,0.878,11,-5.994,1,0.0472,0.0485,0.00101,0.125,0.189,144.157,312533,4
0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,321147,4
0.424,0.949,2,-3.901,1,0.0908,0.0321,0.000611,0.102,0.352,165.125,405920,4
0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067,4
0.537,0.839,0,-3.893,1,0.0739,2.04e-05,0.000571,0.0991,0.381,141.916,254547,4
0.127,0.969,1,-4.475,0,0.107,8.64e-05,0.0,0.118,0.308,176.123,191147,4
0.699,0.719,9,-9.481,1,0.0312,0.118,0.00259,0.0913,0.831,138.958,232893,4
0.598,0.954,2,-4.86,1,0.0801,0.00951,2.86e-05,0.127,0.235,100.98,311987,4
0.495,0.84,9,-6.613,1,0.0446,0.13,0.00151,0.185,0.478,111.82,220533,4
0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139.432,250286,4
0.507,0.752,5,-5.439,0,0.0343,0.251,2.1e-05,0.142,0.554,76.071,262747,4
0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,236973,4
0.781,0.81,10,-6.482,0,0.276,0.0346,0.0,0.223,0.498,130.046,292087,4
0.475,0.576,9,-13.059,1,0.0312,0.0218,0.0221,0.391,0.524,96.378,397773,4
