Title,track_id,artist,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres
Ballad Of The Lower East Side,6hOAbldaYrnNmvpvtalTjs,Michael Monroe,5Ul6r5lUSOraWUidNnsILZ,0.316,0.926,2,-3.777,1,0.0748,2.07e-05,0.0035,0.979,0.471,167.98,audio_features,6hOAbldaYrnNmvpvtalTjs,spotify:track:6hOAbldaYrnNmvpvtalTjs,https://api.spotify.com/v1/tracks/6hOAbldaYrnNmvpvtalTjs,https://api.spotify.com/v1/audio-analysis/6hOAbldaYrnNmvpvtalTjs,196173,4,"['finnish hard rock', 'glam punk', 'sleaze rock']"
Fever To The Form,1QJnDJuYOGj05iSc4eWGr5,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,0.358,0.546,0,-8.927,0,0.0296,0.795,0.0586,0.111,0.264,106.489,audio_features,1QJnDJuYOGj05iSc4eWGr5,spotify:track:1QJnDJuYOGj05iSc4eWGr5,https://api.spotify.com/v1/tracks/1QJnDJuYOGj05iSc4eWGr5,https://api.spotify.com/v1/audio-analysis/1QJnDJuYOGj05iSc4eWGr5,252960,3,"['british singer-songwriter', 'cambridgeshire indie', 'indie folk']"
Rivers,3NBDgwEAGMj0aKRsU8zoO9,Thomas Jack,6JmzdIDSQdeHg0pocIascm,0.574,0.809,0,-5.787,0,0.0565,0.149,6.99e-06,0.129,0.471,122.005,audio_features,3NBDgwEAGMj0aKRsU8zoO9,spotify:track:3NBDgwEAGMj0aKRsU8zoO9,https://api.spotify.com/v1/tracks/3NBDgwEAGMj0aKRsU8zoO9,https://api.spotify.com/v1/audio-analysis/3NBDgwEAGMj0aKRsU8zoO9,207833,4,"['deep house', 'tropical house']"
A Certain Death,6MVGo38XGhUJ2RUznCK9xm,Misery Signals,0OSABE1yGiZK2ALQDJ0SeO,0.252,0.862,7,-6.325,0,0.067,2.85e-05,0.00311,0.421,0.196,99.986,audio_features,6MVGo38XGhUJ2RUznCK9xm,spotify:track:6MVGo38XGhUJ2RUznCK9xm,https://api.spotify.com/v1/tracks/6MVGo38XGhUJ2RUznCK9xm,https://api.spotify.com/v1/audio-analysis/6MVGo38XGhUJ2RUznCK9xm,205840,4,"['deathcore', 'djent', 'melodic metalcore', 'metalcore', 'progressive metalcore']"
Candles,76C3EEgPh8bUmaXPlXsMGE,Jon Hopkins,7yxi31szvlbwvKq9dYOmFI,0.298,0.148,3,-26.245,0,0.0438,0.868,0.843,0.11,0.0603,108.658,audio_features,76C3EEgPh8bUmaXPlXsMGE,spotify:track:76C3EEgPh8bUmaXPlXsMGE,https://api.spotify.com/v1/tracks/76C3EEgPh8bUmaXPlXsMGE,https://api.spotify.com/v1/audio-analysis/76C3EEgPh8bUmaXPlXsMGE,148547,4,"['compositional ambient', 'electronica', 'intelligent dance music']"
Easy To Love,3bJ73tmHnoeBfDZ4pLZqZ8,The Jezabels,76KHdORVQMt7L6nVzvOUph,0.46,0.771,9,-7.451,1,0.0483,0.0152,0.0686,0.265,0.519,118.124,audio_features,3bJ73tmHnoeBfDZ4pLZqZ8,spotify:track:3bJ73tmHnoeBfDZ4pLZqZ8,https://api.spotify.com/v1/tracks/3bJ73tmHnoeBfDZ4pLZqZ8,https://api.spotify.com/v1/audio-analysis/3bJ73tmHnoeBfDZ4pLZqZ8,289773,3,['australian indie']
Holiday in Cambodia,6n7DUOZGILo0dU9pwjQsbA,Dead Kennedys,30U8fYtiNpeA5KH6H87QUV,0.13,0.979,2,-3.903,1,0.113,0.617,0.409,0.338,0.368,205.39,audio_features,6n7DUOZGILo0dU9pwjQsbA,spotify:track:6n7DUOZGILo0dU9pwjQsbA,https://api.spotify.com/v1/tracks/6n7DUOZGILo0dU9pwjQsbA,https://api.spotify.com/v1/audio-analysis/6n7DUOZGILo0dU9pwjQsbA,277533,4,"['alternative rock', 'early us punk', 'hardcore punk', 'punk']"
Rise Up,0tV8pOpiNsKqUys0ilUcXz,Andra Day,1c4rxrxy8eDLvMVL1DTiBe,0.398,0.316,1,-7.031,1,0.0368,0.805,0.0,0.295,0.174,118.582,audio_features,0tV8pOpiNsKqUys0ilUcXz,spotify:track:0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/tracks/0tV8pOpiNsKqUys0ilUcXz,https://api.spotify.com/v1/audio-analysis/0tV8pOpiNsKqUys0ilUcXz,253342,4,['r&b']
"Cheater, Cheater",0IErUOvyUhX4Gxji2LPjTc,Joey + Rory,31Esw1yHgJZBPcRa4nUyTP,0.614,0.809,4,-4.771,1,0.0488,0.594,0.0,0.246,0.79,149.97,audio_features,0IErUOvyUhX4Gxji2LPjTc,spotify:track:0IErUOvyUhX4Gxji2LPjTc,https://api.spotify.com/v1/tracks/0IErUOvyUhX4Gxji2LPjTc,https://api.spotify.com/v1/audio-analysis/0IErUOvyUhX4Gxji2LPjTc,179067,4,['country dawn']
She Is Love,2Dz5WpEWA0vhnMmEPYiZ2y,Parachute,2PCUhxD40qlMqsKHjTZD2e,0.629,0.174,6,-9.697,1,0.141,0.616,0.0,0.118,0.305,134.295,audio_features,2Dz5WpEWA0vhnMmEPYiZ2y,spotify:track:2Dz5WpEWA0vhnMmEPYiZ2y,https://api.spotify.com/v1/tracks/2Dz5WpEWA0vhnMmEPYiZ2y,https://api.spotify.com/v1/audio-analysis/2Dz5WpEWA0vhnMmEPYiZ2y,146067,1,"['acoustic pop', 'charlottesville indie', 'neo mellow', 'neon pop punk', 'pop rock', 'viral pop']"
